Instagram,Facebook,YouTube,Twitter,Telegram,WhatsApp,TikTok,Radio,TV,Newspaper,Website,Sales
48,44,53,12,74,27,14,8,2,24,15,30
47,44,52,13,40,36,58,37,26,6,23,11
79,40,73,59,53,34,37,33,34,21,1,20
72,42,41,12,55,17,45,25,47,36,21,27
87,79,32,32,70,25,54,1,43,35,48,32
22,29,72,71,76,23,12,36,21,30,23,38
74,24,73,22,71,3,58,41,8,10,18,10
96,63,45,78,34,12,35,6,16,43,3,22
56,37,43,47,45,22,42,18,30,20,43,26
88,65,53,19,14,6,59,19,21,20,46,35
72,41,20,35,24,18,66,25,33,13,8,17
23,33,76,60,43,28,15,9,4,5,6,16
95,39,3,41,65,5,36,34,38,14,4,12
42,94,13,50,35,13,29,34,29,33,49,24
22,57,29,71,55,22,16,8,3,41,27,39
77,53,39,2,15,37,12,1,26,14,38,19
26,38,71,34,54,2,75,15,29,6,23,33
96,49,36,59,37,28,77,5,10,4,28,30
51,30,56,71,53,5,62,3,37,21,39,34
34,35,56,68,20,4,73,7,26,28,14,31
73,78,63,46,25,3,73,34,27,37,12,17
54,62,1,3,36,25,17,5,13,25,6,25
29,23,44,45,55,3,26,24,2,22,16,27
40,82,38,31,28,6,11,33,15,18,14,42
30,36,26,38,38,17,39,17,25,20,9,17
53,93,17,2,23,11,63,17,15,7,36,46
81,92,60,53,34,30,12,30,20,13,40,31
64,88,2,46,25,39,37,18,26,4,40,30
67,71,2,72,79,5,14,12,30,6,5,49
72,76,17,42,31,14,22,19,46,20,15,26
86,24,58,14,29,33,12,35,18,5,18,12
93,92,55,24,38,17,59,5,19,19,17,47
38,31,19,79,41,11,17,36,38,27,3,13
76,66,60,30,43,11,27,7,4,42,7,26
78,87,51,29,19,10,51,3,47,16,17,36
73,73,27,6,48,14,42,26,14,26,32,49
82,32,46,31,24,10,46,37,45,17,25,32
55,36,54,43,44,11,74,35,13,36,45,11
30,22,51,32,57,1,57,10,27,28,18,24
88,40,9,33,31,35,24,45,33,17,2,48
66,37,4,61,36,12,16,21,1,28,16,39
69,78,3,26,28,21,18,33,36,28,23,22
69,74,45,78,46,9,52,38,5,21,46,15
45,63,60,44,41,12,42,33,47,29,46,35
69,76,61,32,36,34,12,27,5,13,19,33
85,43,45,75,51,37,62,47,46,8,12,45
84,88,23,48,30,1,12,11,33,20,25,21
72,32,27,26,49,19,46,35,8,6,41,22
91,47,37,17,38,38,27,49,33,42,16,17
47,87,9,17,43,5,35,46,2,31,15,31
55,73,46,8,12,4,51,9,7,16,38,46
53,56,45,66,39,28,14,22,35,4,41,38
75,62,18,35,24,36,73,12,12,32,44,15
57,21,35,16,33,13,35,36,7,18,14,27
81,29,10,76,24,4,25,31,40,16,22,39
52,30,11,7,61,2,68,19,33,28,24,34
48,26,30,16,46,22,73,38,27,21,25,49
38,57,1,8,13,24,42,19,31,33,31,29
48,33,33,50,32,4,42,43,24,13,12,49
27,62,63,39,18,35,50,3,36,5,5,17
23,45,28,37,21,13,77,1,38,9,30,46
72,77,51,5,26,11,24,11,11,30,47,33
42,70,42,18,32,13,11,42,19,15,11,44
65,43,61,65,71,1,31,19,29,17,16,15
95,85,44,43,56,19,12,22,7,9,5,16
23,20,70,28,52,30,42,46,2,14,13,21
42,69,61,7,70,23,17,24,27,38,36,38
66,47,28,26,18,33,60,23,30,49,37,41
50,39,8,37,38,17,24,44,12,18,35,25
55,64,57,67,47,4,39,12,16,22,40,19
41,32,34,63,33,23,42,39,6,17,49,24
72,24,3,73,77,15,50,11,1,12,15,40
38,54,44,13,16,18,46,13,12,31,18,35
72,57,38,43,45,33,52,1,33,11,3,17
76,86,29,10,47,16,40,34,38,5,23,39
68,84,28,33,34,27,78,10,16,28,41,10
70,61,52,77,43,21,31,28,1,29,22,25
80,32,62,48,71,25,37,12,10,27,22,47
49,37,62,54,12,25,37,9,26,29,29,24
74,43,16,25,71,19,44,49,29,17,49,14
87,93,71,33,32,13,21,30,1,5,3,43
54,66,67,25,54,31,51,13,28,15,9,28
46,87,11,21,18,29,46,49,11,8,4,12
72,61,44,22,76,35,16,15,5,41,39,43
63,72,34,14,72,12,77,5,47,11,3,40
73,58,17,42,45,35,14,40,39,34,15,12
93,93,23,2,59,32,42,8,46,23,6,34
80,44,7,43,35,36,41,33,2,48,4,24
26,50,23,20,61,33,43,44,26,4,6,21
75,67,18,29,47,31,52,46,30,48,11,44
37,89,53,62,15,20,21,35,22,13,29,35
52,79,77,4,22,12,64,24,4,14,33,44
25,92,74,6,60,39,51,44,1,35,37,35
43,63,33,33,14,37,41,31,22,32,36,32
94,61,70,14,68,38,19,1,49,48,11,24
67,79,15,58,15,34,67,10,31,41,40,46
81,55,60,73,56,21,20,29,16,11,44,24
62,76,2,17,77,23,56,33,9,27,48,44
28,41,72,61,42,3,28,18,35,30,48,16
74,48,45,1,17,16,77,26,36,33,11,16
54,31,31,27,62,29,49,5,38,28,27,35
33,58,76,27,23,38,54,8,23,2,24,40
71,83,60,29,62,6,28,24,12,19,24,27
59,36,53,78,36,20,15,37,42,19,36,26
54,60,66,40,19,34,23,21,39,4,8,16
62,59,17,5,14,21,45,4,27,5,29,10
67,67,77,55,73,4,76,44,1,46,36,36
58,79,44,40,74,8,75,48,2,13,30,16
67,46,61,45,58,27,75,24,1,32,22,14
90,63,64,60,15,28,25,23,4,46,49,29
23,61,34,36,52,17,38,41,1,41,24,26
53,37,72,70,72,2,52,43,46,20,18,36
49,68,77,68,34,21,75,18,36,35,33,32
27,41,45,7,47,26,64,5,35,46,4,34
29,43,19,71,27,14,46,14,18,5,31,16
75,56,18,14,63,10,79,20,2,13,24,39
60,75,50,25,78,6,42,8,26,46,2,13
30,82,42,2,43,5,16,21,18,34,29,38
84,20,22,45,76,24,18,3,36,11,16,45
21,56,24,74,40,39,76,7,38,41,28,24
70,79,1,31,25,33,53,12,40,35,30,39
68,89,76,11,13,8,47,43,14,24,37,36
52,58,31,50,12,6,51,26,44,12,24,20
21,57,72,48,10,6,11,21,14,22,35,31
67,21,62,5,54,17,28,30,6,21,19,32
48,36,61,47,42,24,47,49,3,47,40,11
51,80,19,70,37,4,71,1,44,22,28,29
55,90,78,1,17,24,59,26,43,45,12,19
50,59,72,79,12,35,10,36,9,44,20,41
81,47,63,9,68,8,63,11,32,41,49,36
90,63,6,45,46,38,23,23,44,20,7,15
20,29,68,59,73,22,38,2,29,7,22,46
27,45,34,57,43,26,64,15,40,30,42,17
41,76,53,20,38,24,61,23,26,5,2,29
52,57,6,35,68,15,20,37,48,39,17,33
61,28,73,4,57,37,55,45,34,43,26,12
92,67,3,62,76,33,75,18,11,37,15,48
42,21,28,6,53,14,61,14,27,48,31,19
42,93,60,56,24,11,59,49,21,7,44,19
20,81,67,67,10,27,25,1,41,25,46,40
51,92,48,57,58,30,58,20,26,23,32,19
71,46,33,50,19,11,27,33,45,4,3,36
35,70,52,45,11,15,55,14,14,37,39,38
41,46,32,4,21,39,60,23,25,36,2,43
96,52,52,69,62,4,29,1,47,30,48,10
31,28,79,69,24,3,26,31,44,10,9,44
85,60,9,72,42,38,20,39,7,38,6,16
27,59,44,22,74,20,30,8,2,34,46,20
86,43,36,4,58,20,65,21,25,28,30,21
81,57,10,45,76,14,66,38,45,46,21,22
49,63,50,50,53,21,40,41,4,48,2,46
90,32,1,77,17,16,17,34,10,47,47,34
58,32,32,35,44,9,19,49,20,41,30,14
81,81,61,37,23,24,73,22,25,25,38,27
44,84,34,77,42,39,23,45,7,47,21,26
22,24,42,73,36,33,74,31,6,7,43,38
42,49,28,44,35,25,40,13,21,47,5,11
47,71,3,74,28,16,69,5,7,14,36,19
53,35,38,35,11,26,51,49,31,36,27,14
21,28,52,74,43,6,12,44,48,39,22,15
82,39,69,46,69,10,73,11,15,1,40,14
67,56,58,63,63,2,51,2,11,23,46,38
68,22,27,60,21,36,72,47,47,6,22,24
64,63,69,63,43,16,55,37,3,24,42,36
76,76,62,76,33,31,54,46,48,5,42,49
52,49,25,53,44,6,61,11,3,25,21,35
73,53,30,8,40,24,33,17,12,23,43,16
38,60,74,25,45,36,77,3,31,47,28,25
48,91,14,20,24,6,57,33,24,17,18,37
83,57,21,16,29,18,73,16,21,1,48,26
50,23,59,64,64,21,56,49,44,42,3,12
37,32,64,71,45,15,49,25,9,30,33,43
39,72,46,40,24,3,75,3,6,22,28,29
40,50,43,78,40,9,22,39,23,48,11,43
24,58,43,48,52,13,12,5,41,25,42,14
65,31,76,54,14,21,43,8,19,33,22,14
71,41,55,4,42,19,77,19,48,6,5,14
81,27,66,20,23,20,50,26,24,18,46,10
36,31,70,49,71,35,32,39,38,23,34,39
21,49,55,39,52,14,24,41,28,31,26,22
59,46,11,28,75,18,14,26,28,25,33,30
92,62,11,61,61,33,67,21,32,28,29,45
26,73,70,40,24,28,42,40,41,2,31,11
41,37,69,73,19,8,67,35,16,24,39,12
94,48,9,57,47,26,50,21,47,34,5,12
90,77,54,25,31,10,14,45,8,15,19,46
29,58,56,37,65,10,49,10,24,38,34,31
64,23,51,13,69,35,32,21,10,12,35,27
88,50,65,56,62,2,39,29,25,28,21,21
79,60,79,75,31,14,46,15,30,44,38,39
25,86,30,54,54,11,66,17,20,28,40,34
71,80,4,30,13,17,73,22,3,39,49,13
53,94,52,59,65,12,17,43,27,43,21,36
51,54,26,49,79,11,15,45,35,44,6,31
61,72,10,55,12,36,57,44,19,47,40,24
89,89,37,3,77,35,25,34,17,39,5,42
90,72,44,10,26,12,20,24,16,3,11,33
24,52,18,1,75,32,28,43,25,21,34,21
95,71,41,46,15,30,57,36,41,34,29,27
42,28,43,63,61,9,55,28,18,10,10,25
32,32,64,45,62,21,51,29,47,13,26,41
71,78,79,21,75,17,36,16,33,30,43,47
61,22,75,76,45,35,78,25,45,49,30,38
65,37,20,44,24,24,69,22,10,27,41,31
94,31,38,40,27,27,55,44,31,37,13,39
72,83,26,26,52,39,71,46,9,27,27,42
28,47,39,21,32,26,56,21,27,20,28,44
31,22,16,29,59,9,21,49,15,41,36,43
64,34,68,33,42,10,36,26,22,36,5,38
52,41,53,16,40,38,24,32,23,22,28,11
83,67,16,31,36,10,71,46,25,36,34,36
20,87,48,21,21,27,16,28,48,6,4,47
29,22,31,71,40,33,55,41,24,5,40,47
48,84,32,66,64,28,52,8,30,42,26,32
95,57,31,59,76,13,56,49,47,14,3,48
23,33,34,16,15,30,32,17,49,34,23,16
62,41,23,58,43,9,31,13,45,16,13,19
83,60,69,1,22,21,21,31,43,13,17,36
81,74,24,77,58,37,47,43,38,34,5,23
85,73,78,75,11,4,75,7,7,18,5,18
29,29,3,26,17,35,64,48,46,17,4,11
91,88,78,42,33,11,52,33,12,10,43,38
89,92,45,19,27,5,69,23,24,2,32,25
70,87,12,57,30,11,74,10,21,21,3,12
48,44,19,71,41,16,57,42,22,24,24,33
61,89,63,13,55,33,67,10,48,17,45,45
93,41,8,31,38,27,51,42,11,30,43,17
83,23,61,33,41,33,75,22,2,40,9,24
39,92,7,50,14,9,66,17,29,2,27,24
84,38,8,71,23,11,54,29,29,9,8,28
75,93,37,6,15,35,19,31,9,2,23,47
80,75,74,53,31,34,63,20,42,2,35,47
95,64,6,57,73,27,54,34,40,48,11,46
26,46,29,12,78,4,46,47,45,17,30,36
48,83,60,43,16,33,69,48,20,33,8,40
39,57,44,77,59,39,78,15,22,7,23,30
91,59,14,22,64,22,75,40,42,2,43,14
32,60,35,12,35,34,66,6,2,25,46,12
90,62,64,1,26,28,10,46,27,40,23,32
28,28,34,46,31,35,41,11,31,1,18,43
75,27,48,7,25,7,77,1,15,15,34,20
90,50,66,28,39,1,57,23,49,33,12,32
24,42,16,48,62,25,57,40,46,36,13,18
45,91,51,18,50,9,24,21,17,8,41,34
35,87,52,6,63,8,79,8,48,34,35,34
37,37,20,37,34,9,20,33,9,17,14,24
29,31,40,16,11,24,52,31,17,49,25,25
35,32,48,35,16,15,44,6,44,2,48,31
81,60,43,44,25,10,49,7,13,43,17,43
50,83,27,23,59,24,78,37,18,39,25,40
46,61,17,63,42,21,16,25,17,24,36,20
81,35,63,63,65,36,79,25,4,26,4,43
53,72,43,1,40,25,50,23,5,21,2,33
78,50,21,29,26,7,40,4,1,48,5,29
67,77,57,31,68,31,69,28,20,24,9,27
48,53,29,57,48,4,23,42,38,49,6,20
71,83,35,5,10,21,50,18,46,7,10,31
28,52,14,25,17,26,36,6,13,23,15,22
47,90,2,67,33,19,36,45,34,22,46,39
74,73,77,60,59,27,51,31,10,42,28,25
72,49,39,68,66,5,76,41,4,19,18,26
30,94,29,6,31,26,50,2,7,13,26,12
27,47,35,58,36,38,28,1,10,1,36,20
58,43,57,64,17,18,22,16,34,36,30,19
74,76,46,30,19,15,53,41,3,41,6,15
74,82,48,59,15,30,63,1,44,3,40,36
23,21,9,57,45,20,22,35,7,7,7,39
68,22,32,13,23,22,65,43,48,23,27,27
80,24,15,70,38,25,45,7,6,48,26,20
26,75,10,79,62,24,42,27,30,38,1,42
23,74,33,54,68,3,42,42,41,39,48,49
30,33,58,57,40,6,27,49,38,10,22,19
95,81,34,18,61,28,40,20,4,42,18,23
36,23,60,13,16,30,10,45,42,19,20,15
37,47,17,75,78,4,26,7,36,37,37,25
92,43,72,31,72,26,67,18,46,42,2,19
96,62,26,5,72,30,50,18,48,7,1,35
63,50,27,51,38,2,21,40,5,48,41,28
88,71,46,18,21,19,40,8,15,2,17,29
43,45,66,72,73,9,69,47,44,48,45,43
68,78,11,50,28,10,19,26,31,31,6,36
58,23,26,16,22,17,45,4,31,42,30,34
94,64,59,30,30,13,16,22,32,14,24,36
37,53,63,28,24,1,11,48,2,11,35,46
27,89,48,35,17,22,14,38,38,14,8,34
76,28,59,5,65,30,36,29,6,22,9,13
34,85,50,62,50,19,37,13,20,37,28,31
95,52,37,16,54,26,67,4,48,2,40,12
76,45,14,75,30,20,61,17,47,42,29,19
21,64,7,65,53,23,34,42,16,4,8,37
70,49,54,24,29,12,22,19,1,12,15,27
65,46,42,71,25,9,31,15,24,35,29,27
32,20,47,4,61,2,45,44,32,36,19,42
